number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,params_scale_pos_weight,state
31,0.09577592054803451,2026-07-13 14:04:19.294305,2026-07-13 14:04:38.124875,0 days 00:00:18.830570,2.259866697954508,64,9,1400,17.623846744140202,0.049769424303077764,0.00582856343475881,20.155390114307835,COMPLETE
32,0.07142658987205054,2026-07-13 14:04:38.125711,2026-07-13 14:04:47.708164,0 days 00:00:09.582453,2.3055822712905965,64,9,700,8.64980406081607,0.039728110131282995,0.012129005787235162,15.968256464366485,COMPLETE
33,0.09871591354151191,2026-07-13 14:04:47.708973,2026-07-13 14:04:55.110868,0 days 00:00:07.401895,2.2227592436657164,128,9,500,4.67230185909592,0.04147272922725417,0.0023045526610399633,18.813869192537798,COMPLETE
34,0.0834553474503158,2026-07-13 14:04:55.111687,2026-07-13 14:04:59.261353,0 days 00:00:04.149666,2.4668958939289385,128,9,300,0.48681702959825696,0.11753020874243808,0.007460154130620753,22.10685007941102,COMPLETE
35,0.11130072465158711,2026-07-13 14:04:59.262227,2026-07-13 14:05:08.895933,0 days 00:00:09.633706,1.529109004503471,64,9,700,17.504040762539088,0.14896273948013078,0.0014526183515945219,19.39508968988987,COMPLETE
36,0.0691446917386046,2026-07-13 14:05:08.896766,2026-07-13 14:05:18.534327,0 days 00:00:09.637561,2.9128097220709184,254,9,700,10.667704104579824,0.12884172915185055,0.002853892060702694,22.58924505860303,PRUNED
37,0.07995401031637892,2026-07-13 14:05:18.535116,2026-07-13 14:05:23.866626,0 days 00:00:05.331510,1.7192738111984491,32,8,600,15.503507375141686,0.14551094420264005,0.0037049413975441666,25.82996712798359,COMPLETE
38,0.052306393882603656,2026-07-13 14:05:23.869728,2026-07-13 14:05:28.662508,0 days 00:00:04.792780,1.1637858914601173,254,8,400,0.2532223654381808,0.07259124605183671,0.01132579231009379,14.772205956207575,PRUNED
39,0.07630488841095309,2026-07-13 14:05:28.663310,2026-07-13 14:05:40.034829,0 days 00:00:11.371519,1.7441306707905568,64,9,800,8.52478710585814,0.08941592854222886,0.001325281457430292,27.79646704678909,COMPLETE
40,0.08492752571196055,2026-07-13 14:05:40.035710,2026-07-13 14:05:48.545173,0 days 00:00:08.509463,1.6947893636716826,64,9,600,4.376761207463997,0.12929070037721735,0.0012441059962883107,15.90395758967105,COMPLETE
41,0.06896088517504442,2026-07-13 14:05:48.545978,2026-07-13 14:05:54.522073,0 days 00:00:05.976095,4.430370829437731,32,8,800,24.24640693530059,0.026543998856577402,0.007160790371237824,19.987201703989065,PRUNED
42,0.09467118032577057,2026-07-13 14:05:54.522901,2026-07-13 14:06:04.256587,0 days 00:00:09.733686,1.5216745250191333,32,9,700,0.7419447404885433,0.06421732068634282,0.0017036107616335808,14.416470689555402,COMPLETE
43,0.055776584369892114,2026-07-13 14:06:04.257680,2026-07-13 14:06:13.823299,0 days 00:00:09.565619,1.483641572097579,64,9,500,0.015253630711932961,0.04730426408875926,0.010189534166956348,16.277786992743305,PRUNED
