number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
23,0.07966731168061073,2026-07-16 12:10:20.022366,2026-07-16 12:10:22.020369,0 days 00:00:01.998003,0.6487085807564256,1.4058731511986122e-05,0.1027913338855295,0,7,9.709066904531493,1800,1.3765764777661551e-08,0.0014449828675189695,22.893759007326157,0.6939434350585709,PRUNED
24,0.07562687615541538,2026-07-16 12:10:22.021216,2026-07-16 12:10:23.230219,0 days 00:00:01.209003,0.6933537738514441,0.017946560383568587,0.120453950737574,10,6,1.1336045345159287,800,8.508543955877494e-08,0.0011587968161713706,65.30009623018844,0.6106240903799978,PRUNED
25,0.06939165633464693,2026-07-16 12:10:23.231280,2026-07-16 12:10:24.938483,0 days 00:00:01.707203,0.7492962922896762,5.9474852623045426e-06,0.0629179770146407,1,9,28.17526209080259,1400,0.037312415721419356,3.176668833851529,41.026488141664515,0.8939971735003777,PRUNED
26,0.10048742309208353,2026-07-16 12:10:24.939928,2026-07-16 12:10:28.129662,0 days 00:00:03.189734,0.7916750317030976,2.456268762487772e-08,0.03732623254235395,2,6,5.671187307384405,1500,3.159668443491788e-06,17.67302100504022,78.76192161770426,0.8676916794661174,PRUNED
27,0.06961738325482872,2026-07-16 12:10:28.130495,2026-07-16 12:10:29.450672,0 days 00:00:01.320177,0.6378298260851787,1.222610946801456e-06,0.030146953629606944,10,9,28.385716773604983,1100,3.909234062617327e-07,0.02117974261298149,23.68796002580549,0.6083494188906146,PRUNED
28,0.11813745295160646,2026-07-16 12:10:29.452022,2026-07-16 12:10:32.654675,0 days 00:00:03.202653,0.9419438797622838,1.0476288123598882e-08,0.09985607926410388,5,9,1.4746280249074022,1200,0.0001305463534936748,3.795763239105298,31.46678252199299,0.8406966453588222,COMPLETE
29,0.06996983490306825,2026-07-16 12:10:32.655552,2026-07-16 12:10:33.870026,0 days 00:00:01.214474,0.8590478916242937,5.233533524223395e-06,0.042340179951244054,10,8,19.8284296144797,900,9.2032373115269e-07,0.3516808344073009,18.392999911805557,0.6166085526200418,PRUNED
30,0.11510498181392492,2026-07-16 12:10:33.872219,2026-07-16 12:10:37.674625,0 days 00:00:03.802406,0.6954796844336307,0.09700531384418175,0.11023424720490506,10,8,14.709643978001177,1300,1.5446682811789838e-06,0.0341918305609922,65.10440740689035,0.7047636463049943,COMPLETE
31,0.12759811632381826,2026-07-16 12:10:37.675793,2026-07-16 12:10:41.247397,0 days 00:00:03.571604,0.9085634599405168,2.9903939576582253e-06,0.10355904217920997,10,6,13.65248514279538,1400,1.2271786170357508e-08,0.05652988391026997,20.252883944143306,0.6946927252138323,COMPLETE
32,0.10414763320484063,2026-07-16 12:10:41.248708,2026-07-16 12:10:44.804263,0 days 00:00:03.555555,0.7217905230693469,1.7189033984083828e-06,0.11554590984334283,10,5,24.852058628656994,1700,7.380985051488282e-07,0.3525546320215074,15.566405683136416,0.76484951177046,PRUNED
